Structure [idcode]	Molecule Name	_SMILES	_CXSMILES_Data	Stereo Centers	cLogP	H-Acceptors	H-Donors	Stereo Centers 2
fnsH`@KASdBLbbTTb\VRbTQXhudyZjjjjZZj`@@ !BMnL`AYn[iJR[fzR[iIn[iJRdiIn[fzR[iIo~_?y?FEMgTvT_Fa|_FbqgKF\	Z3808522295	CCN1N=C(C)C(CN2CC3(CC(C(=O)OC(C)(C)C)C3)C2)=N1		0	1.7456	6	0	0
fcH`@DVSdATfVegWgWvUyitTyWmjj`hIFj@BH@@ !BpwwOtdz?LXB@Sk|qSk|q`MKPKF]NosF@`Dz@Sk\BaEPlYz[@s]B@S`JH@hc}b@C~@h`Bb@C~	Z4319839750	O=C(NCCC1=CN(CC2=CC=CC=C2)N=C1)C1(C2=CC=C(O)N=C2)CCC1		0	1.8346	6	2	0
ffcY@`HXyipY@BLrAYBl`eK[mrnkVBLx{uKUL@EUU@@@ !BKF\lFF@ZXFW~@BpXXAhZXLBfJxS_fQi`JxPkaAi`JxPZXAi`FfA`YQ|Z	Z6130382798	O=C(C1=NC=C(NCC(F)(F)F)N=C1)N1CC2=C(C1)SN=N2		0	0.1615	7	1	0
fcoPa@MMTLDanPrJIJIJHsIRJIjYTYHpXp@UMUUUTuE@@@ !Bnrl_Fj[_nrn{Jz[_Gqk~_uMgnrnYpA}eGqjDUIg@f\BDUDOHk?T@wkZ@poACrG?ApoCB|LKp	PV-009674348925	CC1(C)CN(C(=O)C2=CC(F)=CC3=C2CCC3)CC(C)(C)C1NC(=O)CCF		0	4.0022	4	1	0
fcPc@AA|TD`bPqHYEHYEEelihmMEDnJMYNU{jj``Ijj@`b@@@ !BWpVI`HIwWpUzWu|EAR@`AYn[ARAzWwi_fymzWyn[H@TBmx`Bb@JH@`Jw?[\@?`Jw_?xBmpC~	PV-008237526512	CC1=CC=CC=C1C1(O)CN(C(=O)C2=CC=C(C3(C(F)(F)F)CCC3)N=C2)C1		0	3.652	4	1	0
eohTJD@MEhDEHj`@`rPrRPqIJJGIQPqIZYJRsjZyyZBAhjXHH@@@@@ !B?`C~_w?~@O{}bOvw@Oy??g?~@k\BbOvH?[\@?g?~@O{}bOvw@k\BbOvw@Ox@?`Jw@h`@?ovw@k\Bm?vw	Z1671205208	CC(=O)C1=CC=C(S(=O)(=O)CC(=O)NCC2=CC=CC=C2OC2=CC=CC=N2)C=C1F		0	1.9722	7	1	0
faki`@F\eZhD^rJZIKJKISREJ\EhtTm@AUTuUTT@@ !B_?{}bOvw_?xBm?vw?[\Bm?vwWpUzWwi_WpTEWzR[WpU?KjtpKg|n_ry?yqLpkP	Z6707078172	CN(C)CCC1(C(=O)NC2CN(C3=NC=C(C(=O)O)C=N3)C2)CC1		0	-1.458	8	2	0
fakHQ@LLeZBOA@DIdLddJbTTTlRbRtmYZVjuSUPTQQI@@@ !B\[}q`G?~@O{}mrqgKAc}mv@ZYQ}`YVU`@k]??ovHpJ[}m?vH?[]TaDz@_?y??`	Z3620527312	CC1=CC=NC(CNS(=O)(=O)C2=C(C3OCCO3)C=NN2C)=C1F		0	-0.7837	8	1	0
fcoX`@DBBUnp^RYYUgUuYUfQgAGmjBBbjjBB``@@ !B?X`BbG?~@O{}bOvw@Oy??g?~jT@PU_vw^KQxmG?~DEW}mwbt?[^iPAAU?[]xmGbt_?xBmqAU	Z5477785758	CN(C)CCOC1=CC=C(C(=O)NCC2CCN(C3=CC=NC=N3)CC2)C=N1		0	1.0579	8	1	0
fnsiA@BVceo`QBhcHhheDdceMDlfRM[IXHJJjZZhd@@ !B?Xa??`JH?[_}bOvH_?xBmpJH@hc}m?vw@k_}mw?~@k_Msx@qaBnfw}CMtLt	Z3550618989	NCC1=NNC(C(=O)N2CCN(C3=CC=C(Cl)C=C3Cl)CC2)=C1		0	1.157	6	2	0
fcHb@AFrwdPAFRJIJ[YRIZFIQI[EGAzM^zYfjji`HJjH@@ !Bs|uTntz?mpK}m{lkm?w~@KlkmpJw@`JHmpK}m?vH?[]S?`JH@O{}b@JH_?xBbOvH?Xc}b@JH	PV-008337699891	CCC1=C(C(=O)NCC2(NC(=O)C3=NC=CC4=C3NCCC4)CCC2)SC=C1		0	2.4923	6	3	0
fegqb@DDePvPQFQQJJGQPqIYJIIgHiGNZZjfjj`@X@@ !BDBjVPGbKDBjiOq@j^HnVPA@jedAxb|tjDBk}b@C~@h`Bb@C~DBjVP@^tDBjVPIY@DBh	PV-009930124134	CN(C(=O)C1CCC(OC2=CC=CC=C2)CC1)C1=CC(=O)C(Cl)=NN1C		0	2.3654	6	0	0
ek`VDH@DBAOBjnD`ICHheMBhdlhhUDidbFKGNamcjZfjjjZi@Ah@@@ !B@hb@SlwPilC_ihQTYV@kn}~fussA_?_]}}wA_}~fJ{meXAh_wz[_ilwPnrn?L[\B?g~w_[_}?g|	PV-008434363845	CN(C(=O)CN1N=CC2=CC=CC=C21)C1CCC(NC(=O)C2=C(F)NN=C2)CC1		0	0.7423	8	2	0
fj}i@@DLyHpLbbbbrbfRRqdkrXyZijhIAI`@@ !BJ{o_iah_YV@knuMgXFUeXBqg?g~H@eRDwzZH?Xc}YVAeXH`BwzYeX@	PV-002970702993	CC1=CC=C(CN(C)C(=O)C2=NN=C3C=CC=CN23)N=C1		0	0.6217	6	0	0
fj}Y@@DRL{tPILlsKKNv`nSzKUHSDUEH`@@ !Bnrnfwq|ZXFVYpKlkim~DUA|ZKA`_FfAenrm`Y_x@nrmSFHQTnrmTnp	PV-002852586307	CC(C)C1=NC=NC=C1NC(=O)C1=CC=CN2N=NC=C12		0	0.7512	7	1	0
figp`@DQjCRSLoKJoMjtyXMV}FuUAPTSUUC@@@ !B?Xa??`JHfyn[i@JHfzP@?ovHfzPBmpJH@hb[i@C~?XcVPC?IpJXqop~bgW@Bm}CM	Z6058269086	O=C(CC1=CC=CC=C1OC1CCCC1)N1CC(CC2=CC=NN2)C1		0	2.6145	5	1	0
fi{pb@FZkBp@cIIdliDUMEEEDZLrwhvjjjf@bbh`@@ !Bm?w~@Hc}b@JH@hc}b@HBm?vHb@HBmpC~@h`Bm?vw@OxBmw?~@k\BbOvw@O{}mw?~	Z7601277410	CC1=CC=C2NCCCC2=C1C(=O)NCC(C)(C)N1CCS(=O)CC1		0	0.9359	5	2	0
fmoHb@HXD{`PAFRISJFJ[ISQIQKXHZuVsWRtuUTp@UUD@@ !BtMINouR{pIf{J}KOim|_Fklkf\B{JrnDJxR{Jq|Zf\B{Jq|Zim~{J{lkim|_Foy?Tv\_YP	PV-009221221094	CC1=CC(C(=O)NC2CC(N(C)C(=O)C3=C(C)N=NS3)C2)=CC2=C1CCC2		0	3.4083	6	1	0
fbuQB@I^DBHRYe]]fUYrNXBBj```@@@ !B?[\Bmw?~?[\@?ovw_?x@?ovw@h`BmpJw?[\@?g?~@k\Bm?vw@Ox	Z3367289106	CNC1=CC=CC=C1CNC1=CC=C(Cl)C(COC)=C1		0	2.8083	3	2	0
fj}Pc@MYhhD`bPqHYEHXdmMEDeepS`isUSTuA@S@@@ !BotyN`CF?ot{}bBn{wygOtkmTGvVfpBnDtMHBbG?~LXC}bOvH_?y??`	Z3627616922	CC1=CC2=C(C=N1)CCN2C(=O)C1=CC=C(C(F)(F)F)O1		0	2.6819	4	0	0
fakyB@LDXhIVf@DYHhdh\eMDdmDf\beoZZjjX@IiR@@ !BLXCPs[\BaESPsZ[@s]C@fPJH@hc}bG?~@hc}b@C~@h`Bb@C~@OxlYrpXXAi`YP	Z7704864880	CCSC1=NN=C(CNC(=O)C2=CN=CC(C3=NNC=C3)=C2)N1C		0	0.1679	8	2	0
fcoHc@KQKlg`RBICDadTaTTRQRfbTVfRUhkU{jhBBi`B@@@@@ !B_?{~_?x@_?y}bG?~@ha}bGvw_X`BbGvw_[\BmsRn_[]??`Jw_[]}mpC~@k\BmpJH@Ox@?`JH	PV-006354875410	O=C(NCCC1=CC=CC=C1OC(F)(F)F)C1=NC=CN=C1C1=CC=NC=C1		0	2.8471	6	1	0
ffsXA@BZMzJPQCHcHhhheBbeDhYqTmQRVl@P@URuPT@@ !B?[]??`Jw?Xc}mpC~?[]??g?~@k_}m?vw_?y??eMgTq`_Fa}eFfCA@O_B	Z5633178415	ClC1=CC=C2C(NCC3=C(C4CC4)NN=N3)=NC=NC2=C1Cl		0	2.7998	6	2	0
fa{I`@K^KTGCYEDeiiEJheDejLUiIZmZjjih@bZb@@ !BjTAoJgbtjTBiPGbt@h`Gm@JHAxmoJovH@OxBbOvH@OxBb@JHUKl@?lBYtMJDU@	PV-004283635628	CN1C=CC2=C(NC(=O)C3(C4(O)CCC(=O)CC4)CC3)N=CN=C21		0	1.0685	7	2	0
fmoqc@KIZXlpRBICDadTadRRLrbrTtRPiBTFHyuUUTuUSRuUH]Hp@ !BYrqSYqQDYrs~@A}eKA`_FeLXTqaeXFshwzXknrn{nuR{UKmTilA`FkmTShC_f\?R?XbYp@	PV-005884597952	CC1=NC(C(=O)N[C@H]2C[C@H](NC(=O)C34CCC(C(F)(F)F)(CC3)C4)C2)=CO1		0	2.1137	6	2	0
fewpc@CAj{HIADabPrJPrIIEJZIKQIBdIR\cgUUUUMKP@U@@@ !BYrprDeMgYrs~@A}eKA`_FeLXTqaeXFU`wzXknvU`GqhlFOx@TqagKDz@s|ugKF\ls|t	Z3907024049	O=C(NCC12CCC(C(F)(F)F)(CC1)C2)C1=COC(C2=CC=CC=N2)=N1		0	2.9897	5	1	0
fi{Qc@LZE[H@cl`NPrQQJFKYSQISKPeEZRViZZi`BJj`@@ !BTv]`YW?~KF_~_?vw?X`Bmw?~_?{}bG?~?[_}bG?~@hc}bOvH_?xBbOvw?Xc}bK_}	PV-007058713811	COC1=CC(C(=O)N2CCN(C3=CC=CS3)C(=O)C2)=CC=C1C(F)F		0	2.974	5	0	0
fcH`@DXxLF|bbTTTRfVRqTbRsA^SGJ}mMTEPTUUuIP@@ !B?[\Bmw?~?[_}bOvw@k]??g?~@ha??`C~?[_}bOvH@k\BmpJH?[^iOv|j@O{}m{}N@k\Bm?vw	Z4961613057	CC1=CC(N2CCC(C3(C#N)CCOCC3)CC2)=NC(=O)N1C1=CC=CC=C1		0	2.6621	6	0	0
fewpQ@A^srK^`bDABSKml|{\lyJZL{uVtuMUUSRuST@@ !BrS~dfp~]gP?VOyn[WwizWyn[fyndfzR[fyndfzR[?g~w?Xc}tMINouR{pIf{JxANim|	PV-009548078709	COC1=C(C(=O)N2CC3(CC(NC(=O)C4=CSC(Cl)=C4)C3)C2)N=C(C)O1		0	2.8019	7	1	0
fkq`@D^N@l|bbTbetTRRVabtRdjN^cZjjjBBFjjxdDRh@ !B?eNw?Xc}mpHBbOvwbOvw@`JH@h`BbK\B?X`@?k\B@h`BbOx@@OyPlk_|@hbw@k\B@hbw@ovHm?p	PV-008278390715	COC1(C#N)CC(C(=O)NC[C@]2(C3=CC=CC=C3)C[C@@H](NC(=O)C(C)(C)C)C2)C1		0	2.1444	6	2	0
fcpa@HJ}IH@aladbRRbeTVTTLTVVpS`kNGNejfjjfB@jh@@ !B?g}`FfAeKF\ZGpC~pW?wwPJH@k\@?`C~?g?~_pC~@k\Bb@C~?[\Bmw?~@O{}m?vw_?y??g?~	PV-009432252433	CCC1=CC=C(F)C(C(=O)N(C)C2CC(NC(=O)C3=CSN=C3C3CC3)C2)=C1		0	4.1395	5	1	0
ek`VD@@DL@hnm`OLbbRbRRtRbRTtjRTLRjJZVvZhHHfZj`@aP@@ !Bim}`Y[lkaEP_FfAef\@_FhQTaEP_Fig@nrnYpHQT?g|_Fa|ZXFT_YYg@Tv^fwxQTXFU`YXQTaEP	PV-008660595597	CC1=CC(OC2=CC=C(NC(=O)NCCC3=CC=CN4C=CN=C34)C=C2)=NC=N1		0	2.4647	8	2	0
ffch`@DF]GHMYEEEEdhlbhheV]{MVjBBRjZaP@@ !B?[\Bmw?~@O{}m?vw?X`@?g?~_?xlFBqg?Xa`YV@ZFEM`Foy?KF\ZXFAe	PV-003355685988	CN(CC1=NC(C2=CC=NN2C)=NO1)C(=O)C1=CC=CC=C1		0	0.7554	7	0	0
fj}X`@DXeGIPBrJJHjZIKIQHcKNrUjjZjjffP@@ !Bs}Jw?Yg@nuPqo{}N?Xa??`JH?X`@?`JH@h`@?a@jDBihXsj`vHp@w`	Z4251118351	CN1C=C(C(=O)N2CCC(CC3=CN=NN3)CC2)NC1=O		0	-0.5058	8	2	0
figIb@CMzNBG@BLddLRVrRfbRbVirRlezMZB@jX@JfB@@ !BaEQSFK_}aBnfwq|Zs\~{J{lkGqj{J{lkGqjYpKlkGqjfw{lknrnfwq|Z?g}SYq}e	PV-002840904898	CC1=CC(C(=O)NCC2=CC=C3C(=C2)CCS3(=O)=O)=CC2=C1NN=N2		0	0.8527	7	2	0
fdyPB@A^@DISZ{ORkNAcP@UUWQ@@@ !B@O{}mpJw@h`@?`C~@h`@?`Jw@h`Bm|?MFa|XKL?M@OxXTp	PV-002888965205	CSC1=CC=C(N(C)CC2(C#N)CCCC2)C=C1		0	3.0187	2	0	0
fj}aR@@jt{IPABTromkKmbgAAcPHDuSTtH@@ !BKA`lYvAeVTA`F`QTAEQYP@QTVTA`YPQTAEPq@DAYTMK|B@ANte@lYp	PV-007667540494	O=C(OCC1=CC(C(=O)O)=NO1)C1=CC=C2SC=CC2=C1		0	1.8331	6	1	0
fluHA@BLTdD`bPrJZJJFYQIYdk^bfjZh@@A@@@ !BUKnDUER{f]~@Shc}s|tBbMKO?X`@?`JH@h`BmpC~@Ox@?`Jw	PV-002809701402	CN1N=CC(C2=NC=CC3=CN=CC=C23)=C1C(F)F		0	1.4164	4	0	0
ff}a`@B@CGHhdhmhdihUHpUoMUU@DMUP@@ !BcvuGCOy?w}eG\vvO\sc_qgLxbiB?RWLx\sbJdK}I]RJ@MhjPdKVobhjP	PV-009528349461	CC(C)(C)OC(=O)C1=CC=CC(CN2CCCCC(=O)C2)=C1		0	3.1083	4	0	0
ffcI`@MNCDBBYEMHddTeDliAJdhLVjjjjVjj`@@ !B@k\@?ovw@k]??gf}?[_}mquG_?{}mw?~_?ySYuLXGqh_YV\lTv\lFF\l	Z5495451091	CC(C)(C)N1C=C(CNC23CCC(C(=O)O)(CC2)OC3)N=N1		0	-2.0035	7	2	0
fcoi`@DXlgXLcrJIJIIQSI[PqZIJ\EK^mTD@PDMUUa@@@ !B@hc}b@C~_?xBm?vw?X`Bmw?~_?x@?ovw?[_}b@Jw@k\Bm?vw`@{}mxc}?[]}mxc}?[_~_?vw	PV-006587349396	COC1(C#N)CC(C(=O)NC2=CC=CC(NC(=O)NCC3=CC=NC=C3)=C2)C1		0	0.9927	8	3	0
fnsPb@JZHhFIdTTTRTZRbbRgIYKUlDQCU@PTD@@ !B@k_}mpC~_?xBmpJH@k_}mpC~@O{}b@JH@h`BbOvH@OxBbG?~@h`@?f|jjT@	PV-006827433510	COC1=NC=CC(C(=O)NCCC2=CC=CC=C2C2CC2)=C1Br		0	4.0631	4	1	0
fakqa@BJlXoPRBIAInUu[e]kxJJV}j@Bijjjhh@@ !B?[^H?_vw@k]??ovw?[]??ovw?[]??ovH?[\Bmw?~?[_}mw?~[uUUDBio[uUoUP	Z5132983672	O=C(NCC1=CC=C(C(F)F)N=C1)N1CCC(C2(O)COC2)CC1		0	0.894	6	2	0
fleI`@DXeh@XyEEhdhXeeLJUgMP@TuMB@@ !B_?{}m?vH@k_}mpC~@k\BmpC~?[^?L]KOf]~{Jtz?tLugTtz?	PV-007289557787	COC(=O)C1=CNC(C2=CC(NC(N)=O)=CC=N2)=C1		0	0.2166	7	3	0
fegp`@DL|BNQQQQIIRKjYQQQVc^lyjijjjZjjZ@@ !Bv\@_VdRTjsmI`GF@PAe?[k\BLEJBBNMhm?w~_z~uNyP_I\[@qlCFpLCYw|[@v\CYv]|	PV-003190656670	CC(C)C(CC(=O)N1CCN(C(=O)C2=CC=CN2)CC2(CC2)C1)C(C)C		0	3.3986	5	1	0
fikPr@EV``qZm@DYIHYdleLhmEEdJPXkUUTuUSUTcDd`@ !BP|E@eiX?jTA??`Jw?[_}mpJwec|PURa\ec|Gb{PGAxlGb{PGAxlywtBVAxntAyX?	PV-006927960743	COCC1(C(=O)OC)CC(NC(=O)N[C@H]2CC[C@@H](S(C)(=O)=O)CC2)C1		0	-0.2032	8	2	0
fbu`b@ARBBPrJJIKJIPyJLx{tAAUUUTP@@ !B_?{}bOvw_?xBbG?~?[\BbG?~?X`@?ovwb@K}bOvH?X`BbHc}mpH	PV-009802610623	COC1=CC=C(F)C(CN(C)C2CC(OC(C)C)C2)=C1		0	2.5264	3	0	0
fegaQ@BpPhppAG@cIICMElihdidiirTTuzmMSS@AUSQ@@@ !BR?nDUBnDUKn?LZ[@s]C}m{\B?[]??ovH?[\Bmw?~?[_}mw?~@k_}m?vw_?xBm?vw?X`	Z3540129166	CC(=O)N1CCCC2=CC(C(=O)OCC3=C(S(C)(=O)=O)C=CS3)=CC=C21		0	2.2918	6	0	0
ff}Ha@CV|FB@ABYCIICDhhhjhcHiw`kPQDqUUB@@ !BxyVt``Jw?Xc}mpC~?X`Bmw?~@k\BbMKPotx@?kmTf\@knpJwnuRDJrn{	Z3789995013	CC1=CC(F)=CC(C)=C1S(=O)(=O)CC1=NN=NN1C(C)(C)C		0	1.4828	6	0	0
fjmPP@JZ@cbTfW[Ugi^N\eZjZjjjj`@@ !B?g~w_Xa}mpJH_X`B?`BH_Xa}bGvH__y?b@K~_pCjfyndfpJwiIm}mp	Z7323875110	COC(=O)CNC(=O)CCCN(C)CC12COCC(C1)C2		0	-0.0332	6	1	0
fcoIb@LLeUUb`BLdTVRRbLtTRbLrVJYZo]LuSSA@qUTP@@ !BbOvfpHQTSk~@Sdz?@hcPsPJHFBqNopC~@k\Bb@C~?X`BmpJH@hc}mpC~?X`Bb@Jw@Ox@?`Jw	PV-007192859590	CC(=O)NCC1=NC(CNC(=O)C2=CC=CC=C2C(=O)N2CCCCC2)=CS1		0	1.652	7	2	0
fjmQA@AETCDHDYEEEleMDeDbQg`sTuL@EU@@@ !BpJ[RtHPk`CG}bH`B?Xc}bG?~?[_}bG?~@hc}bOvH@ha??`JH?Xc}b@	PV-004198261761	CC1=CC(C(=O)NCCC2=C(Br)C=CS2)=CC(C)=C1CN		0	3.2311	3	2	0
figH`@DVbdF\bbbTbbT\RRqTDjVhirUjjjjVZZjj@@ !B`X}gT}CMGqk~_}CMYVASYv@ZGvTlFMCMGqhlFJ[_b@K~@ELX`CFDJqi`Ff@_FfAe	PV-002982168413	CC(C)CN1C=C(C23CCC(CC2)N3C(=O)CCC2=COC=C2)N=N1		0	2.374	6	0	0
ffcPP@JZ@`LTfVv}ZYfxINRuZijjjZjZ@@ !BpJYTnqi`YQ}SFF@ZKAc~@AaSFBpXKCF@`Dz?LSF@tm@lYu|FQZ@FHJ@z	Z4210554207	COC(=O)C1=C(C)C(CNC(C(=O)O)(C2CC2)C2CC2)=CN1		0	-0.8356	6	3	0
fewXb@DXHYH}]ADYEDddeihdlhdhRTEHLVcffefjjjfjh@@ !BFfASFF@ZKAc~@Ig@aERDUIg@f\BDUA|Zf\B{Jq|ZGqj{JtOHpoA?pTOHP|cB|G?AP|`	Z6029550153	CN1CCN(C2CCN(C(=O)C3=CN4N=C(Cl)N=C4C=C3)CC2)CC1=O		0	0.5676	8	0	0
fbeab@CZSd@PeJvnwLjJUT@DuUT@@@ !B@Oy}mpC~_[\Bb@Jw@Ox@?`Jw@OyZ@pJH@Oy}bOy??`A}bOy??`@	Z5887482740	CCSCC1=CC=C(C(=O)N(CC)C(CO)CO)C=C1		0	1.6344	4	2	0
fns`Q@JBeZhLQ@Pdrss{\kZRb\u[SUMTp@UI@@@ !Bb@IN`MCMpJYTaJ[_tmB{JvAetmBfwz[_XFV{Jz[_Gqj{J{lkGqk~_uMgGvT	Z3819188384	CCC1=NC(C(=O)OCC(=O)C2=CC=C3OCCC3=C2)=C(Br)S1		0	3.3318	5	0	0
fleHA@IZmDDPRPRYfYYU`oA``b`HN@@@ !B@hc}b@C~_?xBb@JH@k\@?`Jw?[]??`Jw?[\@?ovw@k\@?`Jw	PV-009354752195	CC1=CN=NC(NCC2=C(Cl)C(F)=CC=C2)=C1C#N		0	2.1326	4	1	0
fe{Hc@MNsUTPQ@iAhQdTTRrtrRbabTRYroXBBfjifih`@@ !B?[\Bmw?~?[\@?ovw_?y??ovw_?xBm?vw?[_}mpJw_?x@?ovwosGRsyg_pIf{J|?MFa|	PV-007649811265	CSC1=CN(C)N=C1C(=O)N(C)CCNC(=O)C1=C(F)C=C(Cl)C(C)=C1		0	1.9429	6	1	0
fnspR@BLMhIZ`qDfUmvyuVz\EIwiiiYjjijh@@ !BsR|lYw|qsR?MK}Ho_sE{Jud?K|ugKCE?}D]G|t_sQ?OVo}Z?uk}G|qBuuk|	Z6049375767	COC(=O)CCOC1CN(C(=O)C2=C3C=CC(Br)=CN3N=C2)C1		0	0.7479	7	0	0
ffcq`@DAJBT\bbTTTRQVTrTmV|VkTuTuWUURBSt@@ !B~{uoJiX?jTBp{^m[?X`@?hf?|LKB}pJH@hcmcpC~{X|@?ovH@h`BbOvH	Z4055931143	CC1=C(C(=O)N[C@H]2CC[C@]3(CC2)CNCCO3)C=C(C#N)O1		0	0.9603	6	2	0
figQ`@DLAGnQQQJQJJVJIIG\TJQ^mFuUUUPMPQT@@@ !Byd@kaLBfosFfpLBfs]Bw?_y?mpITnqi`J{meXLBfYQ|kaLBfwz[_ieR{UKmeXFT_	Z3711513857	CC(=O)N(CC(=O)N1CCC2(CCOCC2)C12CC2)C1=CC=CC=C1		0	2.253	5	0	0
fcoHQ@EIfmdbcAHHdDfoUmZWvyfIRJQkjjijjjfZfj@@ !BAxnK^@^Km@^tAp^Kec~VOp^KDEVVOyX?_?xBmq@j?[_}mpJw?[]??`Jw`CGMsz[_UHRDJ}~Y	PV-007481670618	CC1=NOC(N)=C1C(=O)N1CCC(C)(CNC(=O)COC2CC(F)(F)C2)CC1		0	1.1768	8	2	0
fch`@DTEzXDyEDhdeHdUmMEDhiVUhZy{Z``jJi`HbH`@@ !BOM\@wmwwpo@|uw?ApoC]}}wwqxrv`FAe_|E?pVAew_^DUIg@XFVDUJ[_XFW~@FAeKAbfwv@Z	PV-004353435020	CC1=CC(C(=O)NCC2(CNC(=O)C3=CC=CC4=C3CCN4)CC2)=NN=C1C		0	1.3233	7	3	0
fi{Ib@AFjwPR`BDigWf^wfWqRsjmifjfjZYjj@@ !BTqa`FbpX_?{~@G?~FBq??ovw?X`Bmw?~_?{}bOvw_?{}m}KOosG@f[lkf]|ZG|?M	Z6481157319	COC1=NN(C)C=C1CN1C(=O)CCN(CCC2=CC(C)=CS2)C1=O		0	1.5526	7	0	0
ek`RDH@I@jaaD`ICHhhhhdmKdieDddfEMCNamchHIbjjZejTj@@@ !BwzXknvU`Fa?_im~f?Hc@fRn{YV@q`BnDFa?_iah_Fa|kn}~fFa|ZGvAeTv_~_rqgaBnYwyg_aBl	PV-009317712421	CN(CCNC(=O)CC1=CN2C=CC=CC2=N1)C(=O)C1=CC=C2CCCC2=C1F		0	2.2089	6	1	0
fjuQa@KIxHpLP`QdTTRdT\JdRSMPPKPuUT@@@ !B_[]??`Jw_Xa}mwvwmwvH@gvH_?xBm|UT_[]??g?~?g?~@G?~?g?~@@	Z6291943110	CCC(CC)(CN)NC(=O)C1=CC=CC(Br)=C1S(C)(=O)=O		0	1.5561	5	2	0
fegpP@DJ|BRRyEEDmieHUECHdV\MYhvjVZjjZjjh@@ !B@k\@?ovw@k\Bb@Jw?[_}mpoV@k_}mzd?^HmoJf|jAxniPEh_[rhjDEUo[rjK^F|j[rh	PV-009444400600	COC1(C(=O)N(C)CC2(NC(=O)C3=CC(=O)N(C)C=C3)CC2)CC(C)C1		0	-0.2823	7	1	0
fmoPc@F^iD@PvPWHISmsrnmlszLBeYpyuSUUUSPPET@@@ !BbOw}m?vwbOuPloy?fyndfzR[m?vH?_y??g~H?XlGJf}@jXlGbp\?ebioUQBKAxlGJf~KAp	PV-005011963001	O=C(CC1=CC=C(F)C=C1F)NC1CCC2(CC1)CN(C(=O)C1CSC1)C2		0	2.4085	4	1	0
fegIa@KYJOBn`dDRFQSJJIQGQIYQJJQhiZNjBAbjjifJ@@ !B?Xa[H?vH@hc}b@C~_?xBb@JH?Xc}mpC~?[]??`Jw?[_}mpJw[uTWGDV_q{NLqw?Agsh	Z7232358715	CC1=NN(C2CCN(CC(=O)C3=CC=CC=C3OC(F)F)CC2)C(O)=N1		0	1.7739	7	1	0
ek`VDD@NKLimccJ`I@JPrJJIQHzYJSYSIQI`SbQKKXz@bFfjjfjVJ`@@ !BXFVfwxQTXFUSYvAe?g~DUBqgaEQeG}~YUKmeGvT_Gqi`YVT_YQ~bCpAaHu\cUrMW_vFJ[pU_Q?L	PV-009449107198	CC1=CC(F)=C2C=C(C(=O)NCC3(F)CN(C(=O)CCC4=CNN=N4)C3)NC2=C1		0	1.0722	8	3	0
fki`@DRUDxAErJIQJIQE[JJFIKJRoAfmjffjjjZjkjQrA`@ !BAxmoJiX?jTBp{^m[jTCpphf?po_}b@C~rDLBb@JH@OziPGbt[ripgZe@@O{}b@JH?Hc}bA@jDBh	PV-008915561781	COC1=NNC=C1C(=O)NC[C@H]1CC[C@H](N(C)C(=O)C2CCC(C#N)CC2)CC1		0	1.3076	8	2	0
fcIb@BLUzT^`bLbbbJTrTVTtTRVqFN}WlutmTuUSRDAU@@@ !BXW}WHscs^e}obkUoWE]\UytO@Ay\UuqWWE\hWBa\pIeTaAh_XFUSY?y?b@HlYxc}bOvH@hc}	PV-009997728226	CC1=CC=C2C(C(=O)N3CC(CNC(=O)CN4C=C(Cl)C(C)=N4)C3)=COC2=C1		0	1.967	7	1	0
fi{Ha@AMzNw`RBIAIkWfV~uev\rWhzjjjf`@jX`@@ !BXFVv`@C^w_\|ussWw_]`YXf?aERfwxf?TPA`YXf?aERfwvAeXFVfwxQTtl~H?XAN	Z5590353119	CC1=C2NN=NC2=CC(C(=O)N(C)C2(CCO)CCC(F)(F)CC2)=C1		0	2.208	6	2	0
ek`VL@@DMC@ji`DclbbbbbRRQJfTTRVtL\BzfvNZjZfjijZjjX@@ !B|iB@mkOXcL_rdCj`_|ETaAh_|i@WGETPpIg@f_JPFa?@fURDFa|ZGvAeTv_~_x`BKF^H?Xc}b@H	PV-009275810492	CCCN(C(=O)C1=CNN=C1)C1CCN(C(=O)CC2=CN=C3COCCN23)CC1		0	0.3631	9	1	0
fasPb@FZiXFHdvvl{\ttjtWltuUSUUUT@@ !BTPAOdnalzFppkUD@zFsh[NalD~`SzIY@?YXPJovH@OxBb@^tAxlBbJd?DET@?`	PV-008028921358	C=C(Br)CC(=O)NCC1CN(C(=O)C2C(C)(C)CCCC2(C)C)C1		0	3.5847	4	1	0
fbuqb@B\uINPRBSJzvst}FAS@ASUUUD@@ !B?[\Bmw?~?[_}mw?~?[\BmpC~?[_}mpJw_?xBmx`B@k^w?PJwm?t	Z5519619291	CN(CC(=O)NC1=CC=C(F)C=N1)CC1(CO)COC1		0	-0.5847	6	2	0
flePQ@JVHrV`X`PcHhhhceMDhZL|FfZjZVj`@@ !B_?ySFEMgFf@_YQ|ZFa|kaAh_pIeTaAh_XFUSY?y?KF]??g?~	Z4014003594	CCC1=C(C(=O)OCC2=C(Br)C(OC)=NO2)N=CS1		0	2.1346	6	0	0
